timestamp,crash_multiplier,num_bets,total_bet_amount
2026-01-27 20:48:56,1.25,507,3000.0
2026-01-27 21:05:57,4.47,2980,0.0
2026-01-27 21:06:07,3.34,1494,0.0
2026-01-27 21:06:31,3.8,1367,0.0
2026-01-27 21:06:59,4.22,1266,0.0
2026-01-27 21:07:23,3.06,1994,0.0
2026-01-27 21:07:47,2.68,2123,0.0
2026-01-27 21:08:09,2.44,2203,0.0
2026-01-27 21:08:39,6.29,1080,0.0
2026-01-27 21:09:04,2.83,2447,0.0
2026-01-27 21:09:51,20.41,562,0.0
2026-01-27 21:10:03,1.01,4225,0.0
2026-01-27 21:10:18,1.34,3265,0.0
2026-01-27 21:10:37,2.65,1887,0.0
2026-01-27 21:11:02,3.07,1925,0.0
2026-01-27 21:11:14,1.0,4214,0.0
2026-01-27 21:11:57,18.09,519,0.0
2026-01-27 21:12:12,1.26,4243,0.0
2026-01-27 21:12:40,4.07,1748,0.0
2026-01-27 21:13:10,6.17,1133,0.0
2026-01-27 21:13:29,1.75,4111,0.0
2026-01-27 21:13:47,1.47,4151,0.0
2026-01-27 21:14:35,29.03,410,0.0
2026-01-27 21:14:50,1.37,4486,0.0
2026-01-27 21:15:09,1.6,3799,0.0
2026-01-27 21:15:21,1.15,4612,0.0
2026-01-27 21:15:39,2.24,2961,0.0
2026-01-27 21:16:06,3.49,2022,0.0
2026-01-27 21:16:24,2.2,3367,0.0
2026-01-27 21:16:43,1.4,4438,0.0
2026-01-27 21:17:07,1.18,3504,0.0
2026-01-27 21:17:31,1.06,3529,0.0
2026-01-27 21:17:40,1.1,2919,0.0
2026-01-27 21:17:52,1.22,2541,0.0
2026-01-27 21:18:23,4.85,1215,0.0
2026-01-27 21:18:47,3.33,1693,0.0
2026-01-27 21:19:35,20.02,490,0.0
2026-01-27 21:20:15,3.01,1860,0.0
2026-01-27 21:20:30,1.65,3468,0.0
2026-01-27 21:20:45,1.17,3854,0.0
2026-01-27 21:21:27,15.26,541,0.0
2026-01-27 21:22:25,46.47,222,0.0
2026-01-27 21:22:46,2.39,2829,0.0
2026-01-27 21:23:07,2.27,2362,0.0
2026-01-27 21:23:35,4.39,1457,0.0
2026-01-27 21:24:11,7.16,1071,0.0
2026-01-27 21:24:26,1.45,4397,0.0
2026-01-27 21:24:51,2.93,2226,0.0
2026-01-27 21:25:00,1.05,4481,0.0
2026-01-27 21:25:18,1.68,3814,0.0
2026-01-27 21:26:00,14.59,682,0.0
2026-01-27 21:26:34,7.21,1361,0.0
2026-01-27 21:26:46,1.04,4801,0.0
2026-01-27 21:26:58,1.12,3788,0.0
2026-01-27 21:27:25,1.11,3857,0.0
2026-01-27 21:27:37,1.33,3349,0.0
2026-01-27 21:28:11,6.65,1184,0.0
2026-01-27 21:28:26,1.28,4815,0.0
2026-01-27 21:28:53,5.04,1539,0.0
2026-01-27 21:29:32,9.29,1008,0.0
2026-01-27 21:29:48,1.27,4746,0.0
2026-01-27 21:30:51,82.65,180,0.0
2026-01-27 21:31:18,3.94,2662,0.0
2026-01-27 21:31:55,9.1,1171,0.0
2026-01-27 21:32:19,2.8,3429,0.0
2026-01-27 21:33:05,4.9,1825,0.0
2026-01-27 21:33:50,5.84,1555,0.0
2026-01-27 21:34:08,1.71,4467,0.0
2026-01-27 21:34:26,2.15,4390,0.0
2026-01-27 21:34:57,1.61,4900,0.0
2026-01-27 21:35:09,1.19,4565,0.0
2026-01-27 21:35:24,1.24,3930,0.0
2026-01-27 21:35:51,1.88,3390,0.0
2026-01-27 21:36:12,1.97,3386,0.0
2026-01-27 21:36:34,2.98,2590,0.0
2026-01-27 21:36:55,1.93,3947,0.0
2026-01-27 21:37:28,1.63,3489,0.0
2026-01-27 21:38:02,1.52,3062,0.0
2026-01-27 21:38:20,1.91,2528,0.0
2026-01-27 21:38:50,5.34,1273,0.0
2026-01-27 21:39:14,3.36,1910,0.0
2026-01-27 21:39:51,10.11,888,0.0
2026-01-27 21:40:30,10.19,970,0.0
2026-01-27 21:41:22,29.05,533,0.0
2026-01-27 21:41:40,1.73,4438,0.0
2026-01-27 21:42:22,5.36,1338,0.0
2026-01-27 21:44:17,12.83,716,0.0
2026-01-27 21:46:42,1.46,0,0.0
2026-01-27 21:47:12,6.15,1604,0.0
2026-01-27 21:47:39,3.74,2086,0.0
2026-01-27 21:48:01,2.77,2718,0.0
2026-01-27 21:48:19,1.36,4531,0.0
2026-01-27 21:48:37,2.22,2953,0.0
2026-01-27 21:49:22,6.49,1360,0.0
2026-01-27 21:49:41,1.79,3924,0.0
2026-01-27 21:50:20,3.95,1905,0.0
2026-01-27 21:51:08,1.21,3877,0.0
2026-01-27 21:51:39,2.01,2945,0.0
2026-01-27 21:52:03,1.07,3261,0.0
2026-01-27 21:52:18,1.5,2493,0.0
2026-01-27 21:52:48,5.24,1156,0.0
2026-01-27 21:53:19,6.02,985,0.0
2026-01-27 21:54:01,5.32,1152,0.0
2026-01-27 21:54:16,1.31,4019,0.0
2026-01-27 21:54:50,2.62,2350,0.0
2026-01-27 21:55:11,2.25,2510,0.0
2026-01-27 21:56:02,5.33,1178,0.0
2026-01-27 21:56:20,1.56,3808,0.0
2026-01-27 21:57:03,4.89,1145,0.0
2026-01-27 21:57:51,1.74,3180,0.0
2026-01-27 21:58:10,1.94,2742,0.0
2026-01-27 21:59:13,4.16,1213,0.0
2026-01-27 21:59:22,1.03,3002,0.0
2026-01-27 22:00:53,12.9,555,0.0
2026-01-27 22:01:45,34.61,291,0.0
2026-01-27 22:02:06,2.19,2571,0.0
2026-01-27 22:02:30,1.2,2561,0.0
2026-01-27 22:03:19,24.21,370,0.0
2026-01-27 22:04:22,3.96,1491,0.0
2026-01-27 22:04:43,2.46,2235,0.0
